count,count1,count2,model data,model_probability
1682,1600,82,2,0.0487514863258
1842,1623,219,2,0.118892508143
1615,1588,27,1,0.983281733746
1697,1600,97,1,0.942840306423
1697,1575,122,1,0.928108426635
1718,1588,130,2,0.0756693830035
932,30,902,2,0.967811158798
1157,486,671,2,0.579948141746
1689,1622,67,2,0.0396684428656
769,48,721,2,0.937581274382
1556,1546,10,1,0.993573264781
1556,1490,66,1,0.957583547558
970,176,794,2,0.818556701031
964,107,857,2,0.889004149378
1759,1588,171,1,0.902785673678
1813,1585,228,1,0.874241588527
888,38,850,2,0.957207207207
1006,232,774,2,0.769383697813
1793,1701,92,2,0.0513106525376
1566,1511,55,1,0.964878671775
1703,1587,116,1,0.931884908984
1086,227,859,2,0.790976058932
1655,1614,41,1,0.975226586103
1662,1570,92,1,0.944645006017
1692,1689,3,2,0.00177304964539
985,133,852,2,0.864974619289
846,0,846,2,1.0
1017,120,897,2,0.882005899705
1560,1526,34,1,0.978205128205
1166,367,799,2,0.685248713551
992,127,865,2,0.871975806452
840,8,832,2,0.990476190476
922,32,890,2,0.965292841649
1548,1545,3,1,0.998062015504
1726,1552,174,1,0.899188876014
1563,1563,0,1,1.0
1610,1608,2,2,0.00124223602484
1677,1611,66,1,0.960644007156
870,70,800,2,0.919540229885
1681,1568,113,1,0.932778108269
923,89,834,2,0.903575297941
809,105,704,2,0.87021013597
1620,1543,77,1,0.952469135802
1639,1547,92,1,0.943868212325
829,6,823,2,0.992762364294
1632,1503,129,1,0.920955882353
1676,1583,93,1,0.944510739857
835,0,835,2,1.0
1636,1543,93,1,0.94315403423
923,33,890,2,0.964247020585
816,0,816,2,1.0
1317,533,784,2,0.595292331055
1598,1524,74,1,0.953692115144
846,16,830,2,0.981087470449
1321,565,756,2,0.572293716881
1728,1558,170,2,0.0983796296296
1689,1647,42,1,0.97513321492
1511,1017,494,2,0.326935804103
1726,1555,171,1,0.900926998841
1580,1556,24,2,0.0151898734177
938,1,937,2,0.998933901919
1367,536,831,2,0.60790051207
1654,1418,236,2,0.142684401451
1608,1560,48,2,0.0298507462687
1750,1252,498,2,0.284571428571
876,0,876,2,1.0
1596,1546,50,1,0.968671679198
950,15,935,2,0.984210526316
1666,1552,114,1,0.931572629052
1777,1620,157,1,0.91164884637
1712,1581,131,1,0.923481308411
1543,1522,21,1,0.98639014906
974,60,914,2,0.93839835729
1487,1304,183,2,0.123066577001
1642,1595,47,1,0.97137637028
1587,1572,15,1,0.990548204159
1475,1475,0,1,1.0
1003,172,831,2,0.82851445663
1721,1545,176,1,0.897733875654
1679,1507,172,1,0.89755807028
1713,1489,224,1,0.869235259778
1069,351,718,2,0.67165575304
1533,1522,11,1,0.992824527071
1662,1541,121,1,0.927196149218
1607,1580,27,2,0.0168014934661
1551,1218,333,2,0.214700193424
1578,1578,0,1,1.0
850,1,849,2,0.998823529412
1586,1538,48,1,0.96973518285
905,8,897,2,0.991160220994
901,9,892,2,0.990011098779
1629,1552,77,1,0.952731737262
1606,1571,35,1,0.978206724782
950,30,920,2,0.968421052632
1709,1600,109,1,0.936220011703
1735,1646,89,1,0.948703170029
938,116,822,2,0.876332622601
1718,1601,117,2,0.0681024447031
899,5,894,2,0.994438264739
1615,1471,144,2,0.0891640866873
1502,1502,0,1,1.0
1801,1646,155,2,0.0860632981677
1607,1596,11,2,0.00684505289359
1600,1544,56,1,0.965
1733,1584,149,2,0.0859780727063
768,12,756,2,0.984375
1521,1495,26,1,0.982905982906
1680,1608,72,1,0.957142857143
1534,1522,12,1,0.992177314211
1750,1367,383,2,0.218857142857
1684,1630,54,1,0.967933491686
885,48,837,2,0.945762711864
957,93,864,2,0.902821316614
767,12,755,2,0.984354628422
1500,1488,12,1,0.992
1645,1569,76,1,0.953799392097
1602,1556,46,1,0.971285892634
1679,1511,168,1,0.899940440739
940,241,699,2,0.743617021277
1546,1526,20,1,0.987063389392
1684,1609,75,1,0.955463182898
1697,1581,116,1,0.931644077784
1800,1584,216,2,0.12
1679,1679,0,2,0.0
1662,1614,48,1,0.971119133574
1597,1512,85,1,0.946775203507
843,81,762,2,0.903914590747
1664,1658,6,2,0.00360576923077
789,2,787,2,0.997465145754
1742,1742,0,2,0.0
1778,1778,0,2,0.0
1666,1039,627,2,0.376350540216
893,15,878,2,0.98320268757
1651,1296,355,2,0.215021199273
1442,990,452,2,0.313453536755
1551,1508,43,1,0.972275950999
1771,1567,204,1,0.884810841333
872,1,871,2,0.998853211009
1693,1573,120,1,0.929119905493
849,39,810,2,0.95406360424
1722,1571,151,1,0.91231126597
999,120,879,2,0.87987987988
1739,1555,184,1,0.894192064405
1807,1583,224,1,0.876037631433
1632,1569,63,1,0.961397058824
859,19,840,2,0.977881257276
963,101,862,2,0.895119418484
1603,1555,48,1,0.970056144729
1636,1577,59,1,0.963936430318
948,20,928,2,0.978902953586
1598,1579,19,1,0.988110137672
1609,1557,52,1,0.967681789932
750,1,749,2,0.998666666667
860,2,858,2,0.997674418605
1713,1360,353,2,0.206071220082
1584,1557,27,1,0.982954545455
880,175,705,2,0.801136363636
1644,1518,126,1,0.923357664234
955,46,909,2,0.951832460733
1676,1548,128,1,0.923627684964
1544,1543,1,1,0.999352331606
990,140,850,2,0.858585858586
1681,1603,78,1,0.953599048186
1588,1555,33,1,0.979219143577
1562,1481,81,1,0.94814340589
1738,1738,0,2,0.0
1497,1491,6,1,0.995991983968
1645,1538,107,1,0.934954407295
1584,1564,20,1,0.987373737374
1640,1612,28,1,0.982926829268
1627,1566,61,1,0.962507682852
1601,1531,70,1,0.956277326671
1545,1523,22,1,0.985760517799
1525,1385,140,2,0.0918032786885
1699,1546,153,1,0.909947027663
1435,1078,357,2,0.248780487805
1720,1576,144,2,0.0837209302326
905,129,776,2,0.857458563536
1597,1594,3,1,0.998121477771
890,3,887,2,0.996629213483
887,0,887,2,1.0
1598,1577,21,1,0.986858573217
1626,1558,68,1,0.958179581796
858,7,851,2,0.991841491841
1725,1544,181,2,0.104927536232
1576,1534,42,1,0.973350253807
892,1,891,2,0.998878923767
1723,1624,99,1,0.942542077771
1201,651,550,2,0.457951706911
1664,1559,105,1,0.936899038462
1690,1567,123,1,0.927218934911
1567,1508,59,1,0.962348436503
1546,1546,0,1,1.0
1683,1658,25,2,0.0148544266191
1583,1464,119,1,0.924826279217
1815,1620,195,1,0.892561983471
1545,1538,7,1,0.995469255663
1636,1583,53,1,0.96760391198
1646,1076,570,2,0.346294046173
1578,1521,57,1,0.963878326996
801,1,800,2,0.998751560549
1328,530,798,2,0.600903614458
946,102,844,2,0.892177589852
1567,1503,64,1,0.959157626037
1671,1539,132,1,0.921005385996
874,60,814,2,0.931350114416
1672,1580,92,1,0.944976076555
1682,1591,91,1,0.945897740785
1667,1555,112,1,0.932813437313
1307,857,450,2,0.344299923489
849,2,847,2,0.997644287397
1540,1512,28,1,0.981818181818
882,1,881,2,0.998866213152
1222,356,866,2,0.708674304419
1851,1851,0,2,0.0
1646,1586,60,1,0.96354799514
1714,1577,137,1,0.920070011669
1617,1568,49,1,0.969696969697
1648,1568,80,1,0.95145631068
1620,1051,569,2,0.351234567901
1644,1570,74,1,0.95498783455
840,21,819,2,0.975
1631,1493,138,1,0.915389331698
1934,1603,331,1,0.828852119959
1506,1494,12,1,0.99203187251
1637,1565,72,1,0.956017104459
797,0,797,2,1.0
1329,928,401,2,0.30173062453
754,19,735,2,0.974801061008
1391,927,464,2,0.333572969087
830,0,830,2,1.0
1828,1654,174,1,0.904814004376
1570,1510,60,1,0.96178343949
1806,1552,254,2,0.140642303433
1752,1340,412,2,0.235159817352
914,138,776,2,0.849015317287
1674,1674,0,2,0.0
1711,1689,22,2,0.0128579777908
900,22,878,2,0.975555555556
1550,1531,19,1,0.987741935484
1713,1622,91,1,0.946876824285
1624,1591,33,1,0.979679802956
1597,1520,77,1,0.951784596118
976,103,873,2,0.894467213115
1684,1650,34,2,0.020190023753
1532,1532,0,2,0.0
848,2,846,2,0.997641509434
1679,1536,143,1,0.914830256105
1581,1507,74,1,0.953194180898
1584,1513,71,1,0.955176767677
859,0,859,2,1.0
1792,1612,180,1,0.899553571429
902,39,863,2,0.956762749446
1605,1546,59,1,0.963239875389
1681,1630,51,1,0.969660916121
816,53,763,2,0.935049019608
830,5,825,2,0.993975903614
1648,1587,61,1,0.962985436893
969,238,731,2,0.754385964912
1610,1531,79,1,0.950931677019
1751,1684,67,2,0.038263849229
1605,1521,84,1,0.947663551402
897,4,893,2,0.995540691193
1738,1571,167,1,0.903912543153
1645,1422,223,2,0.13556231003
1090,457,633,2,0.580733944954
1718,1612,106,1,0.938300349243
1126,579,547,2,0.485790408526
1658,1601,57,1,0.965621230398
1576,1576,0,1,1.0
